Plasman,Startni broj,Ime,Prezime,Klub,Vreme
1,20,Nataša,Mićić,Šaronje,1:51:19
2,47,Sanja,Despotovic,Saronje,1:56:00
3,46,Jelena,Mitrović,,2:26:25
4,5,Зорана,Лазић,,2:27:53
5,26,Jelena,Kostić,,2:31:00
6,27,Ana,Lešević,,2:31:01
7,21,Јованка,Арсовић,PK Gora,2:38:52
8,22,Marija,Rafajlović Stojković,TRIM-TIM,2:38:52
9,14,Gordana,Novaković,PD Kablar  Čačak,2:49:00
10,40,Sandra,Brandalik,Coca Cola HBC Runners,2:53:50
11,33,Marija,Koturovic,,3:04:01
12,9,Inge,Tscheng,,3:05:10
13,44,Мина,Миловановић,BRAVEHEARTS,DNS
