Plasman,Startni broj,Ime,Prezime,Klub,Vreme
1,49,Dušan,Krstić,KTJ & TIAC,1:17:45
2,32,Esad,Hasanovic,,1:19:35
3,29,Damir,Raovac,,1:26:45
4,36,Зоран,Радовић,Ариље,1:28:51
5,1,Miloš,Jakovljević,Šaronje,1:38:00
6,13,Marko,Petronijević,,1:43:00
7,42,Miloš,Bićanin,Saronje,1:45:39
8,15,Milan,Pantović,Trstenik,1:48:27
9,7,Vladan,Damnjanović,,1:48:37
10,11,Стефан,Ђурић,,1:52:28
11,50,Milan,Jevremović,,1:53:13
12,4,Đorđe,Nedeljković,,1:54:08
13,3,Pedja,Jokic,,1:54:10
14,30,Vladimir,Trboljevac,,1:56:08
15,52,Vanja,Radović,KTJ Shape Trening Centar,1:57:55
16,2,Срђан,Милисавић,,2:00:24
17,31,Rade,Karaklajić,,2:01:00
18,41,Filip,Nedeljkovic,NP OCR TEAM,2:03:30
19,6,Milan,Ljubenović,,2:07:37
20,28,Ognjen,Surla,,2:07:38
21,16,Miloš,Krsmanović,,2:08:16
22,8,Jorgen,Tscheng,,2:12:36
23,10,Luka,Petkovic,,2:14:54
24,12,Boban,Jokovic,,2:14:56
25,51,Petar,Petrov,KTJ Team,2:20:54
26,19,Nikola,Bojić,Forrest Jump,2:21:53
27,45,Srdjan,Rajkovic,,2:21:54
28,35,Sanjin,Mašović,Trail Blazers,2:24:34
29,37,Ivan,Glođović,Lanin i Katjin tata,2:24:37
30,39,Davor,Brandalik,Coca Cola HBC Runners,2:26:08
31,48,Irfan,Nurkovic,,2:26:18
32,17,Nikola,Bulatovic,,2:31:18
33,18,Goran,Sentić,,2:31:19
34,38,Nikola,Bjekić,,2:54:13
35,23,Ivan,Stojkovic,,3:02:30
36,24,Dejan,Petrović,Trim tim Kg,3:02:30
37,34,Raško,Koturovic,,3:04:00
38,25,Nemanja,Radenković,,DNS
39,43,Slavko,Panic,Super Gym Beograd,DNS
